Compound,Date,Negative,Neutral,Positive,Tweets Ago,UserName
0,Sun Dec 10 00:02:28 +0000 2017,0,1,0,87,@CBSNews
0.5574,Sun Dec 10 00:02:27 +0000 2017,0,0.753,0.247,88,@CBSNews
0.5837,Sun Dec 10 00:02:15 +0000 2017,0,0.799,0.201,89,@CBSNews
0.3612,Sun Dec 10 00:02:11 +0000 2017,0,0.884,0.116,90,@CBSNews
0,Sun Dec 10 00:02:10 +0000 2017,0,1,0,91,@CBSNews
0,Sun Dec 10 00:02:06 +0000 2017,0,1,0,92,@CBSNews
0,Sun Dec 10 00:02:01 +0000 2017,0,1,0,93,@CBSNews
0,Sun Dec 10 00:01:56 +0000 2017,0,1,0,94,@CBSNews
0,Sun Dec 10 00:01:43 +0000 2017,0,1,0,95,@CBSNews
0,Sun Dec 10 00:01:41 +0000 2017,0,1,0,96,@CBSNews
-0.4753,Sun Dec 10 00:01:41 +0000 2017,0.154,0.846,0,97,@CBSNews
-0.7269,Sun Dec 10 00:01:34 +0000 2017,0.253,0.747,0,98,@CBSNews
0.6124,Sun Dec 10 00:01:16 +0000 2017,0,0.815,0.185,99,@CBSNews
-0.3147,Sun Dec 10 00:01:10 +0000 2017,0.219,0.646,0.136,100,@CBSNews
0,Sun Dec 10 00:10:51 +0000 2017,0.097,0.806,0.097,1,@CNN
0,Sun Dec 10 00:10:51 +0000 2017,0,1,0,2,@CNN
0.6369,Sun Dec 10 00:10:50 +0000 2017,0,0.792,0.208,3,@CNN
-0.1027,Sun Dec 10 00:10:50 +0000 2017,0.149,0.851,0,4,@CNN
-0.6705,Sun Dec 10 00:10:49 +0000 2017,0.176,0.824,0,5,@CNN
0,Sun Dec 10 00:10:48 +0000 2017,0,1,0,6,@CNN
-0.4003,Sun Dec 10 00:10:48 +0000 2017,0.26,0.605,0.135,7,@CNN
-0.34,Sun Dec 10 00:10:48 +0000 2017,0.21,0.664,0.126,8,@CNN
-0.7184,Sun Dec 10 00:10:46 +0000 2017,0.279,0.664,0.058,9,@CNN
0.296,Sun Dec 10 00:10:46 +0000 2017,0,0.864,0.136,10,@CNN
0,Sun Dec 10 00:10:45 +0000 2017,0,1,0,11,@CNN
-0.8344,Sun Dec 10 00:10:44 +0000 2017,0.371,0.629,0,12,@CNN
-0.2732,Sun Dec 10 00:10:44 +0000 2017,0.208,0.667,0.125,13,@CNN
0,Sun Dec 10 00:10:43 +0000 2017,0,1,0,14,@CNN
0.0052,Sun Dec 10 00:10:43 +0000 2017,0.177,0.644,0.179,15,@CNN
0.1666,Sun Dec 10 00:10:42 +0000 2017,0.136,0.674,0.189,16,@CNN
0,Sun Dec 10 00:10:41 +0000 2017,0,1,0,17,@CNN
-0.836,Sun Dec 10 00:10:41 +0000 2017,0.257,0.743,0,18,@CNN
-0.4767,Sun Dec 10 00:10:41 +0000 2017,0.242,0.649,0.108,19,@CNN
0,Sun Dec 10 00:10:40 +0000 2017,0,1,0,20,@CNN
0.4019,Sun Dec 10 00:10:39 +0000 2017,0.084,0.728,0.188,21,@CNN
-0.8402,Sun Dec 10 00:10:39 +0000 2017,0.29,0.71,0,22,@CNN
0,Sun Dec 10 00:10:39 +0000 2017,0,1,0,23,@CNN
0,Sun Dec 10 00:10:39 +0000 2017,0,1,0,24,@CNN
-0.4939,Sun Dec 10 00:10:38 +0000 2017,0.39,0.61,0,25,@CNN
0,Sun Dec 10 00:10:38 +0000 2017,0,1,0,26,@CNN
0,Sun Dec 10 00:10:38 +0000 2017,0,1,0,27,@CNN
0,Sun Dec 10 00:10:38 +0000 2017,0,1,0,28,@CNN
0.4574,Sun Dec 10 00:10:37 +0000 2017,0,0.626,0.374,29,@CNN
0,Sun Dec 10 00:10:36 +0000 2017,0,1,0,30,@CNN
0,Sun Dec 10 00:10:36 +0000 2017,0,1,0,31,@CNN
0,Sun Dec 10 00:10:36 +0000 2017,0,1,0,32,@CNN
0.7269,Sun Dec 10 00:10:36 +0000 2017,0,0.697,0.303,33,@CNN
0,Sun Dec 10 00:10:36 +0000 2017,0,1,0,34,@CNN
-0.6476,Sun Dec 10 00:10:35 +0000 2017,0.325,0.675,0,35,@CNN
0,Sun Dec 10 00:10:35 +0000 2017,0,1,0,36,@CNN
0,Sun Dec 10 00:10:34 +0000 2017,0,1,0,37,@CNN
0,Sun Dec 10 00:10:34 +0000 2017,0,1,0,38,@CNN
0.5095,Sun Dec 10 00:10:34 +0000 2017,0,0.708,0.292,39,@CNN
-0.6319,Sun Dec 10 00:10:33 +0000 2017,0.256,0.744,0,40,@CNN
-0.5256,Sun Dec 10 00:10:33 +0000 2017,0.139,0.861,0,41,@CNN
0,Sun Dec 10 00:10:32 +0000 2017,0,1,0,42,@CNN
0,Sun Dec 10 00:10:31 +0000 2017,0,1,0,43,@CNN
-0.1027,Sun Dec 10 00:10:31 +0000 2017,0.13,0.756,0.113,44,@CNN
0.3181,Sun Dec 10 00:10:30 +0000 2017,0,0.867,0.133,45,@CNN
-0.4019,Sun Dec 10 00:10:29 +0000 2017,0.127,0.816,0.057,46,@CNN
-0.34,Sun Dec 10 00:10:29 +0000 2017,0.138,0.862,0,47,@CNN
0,Sun Dec 10 00:10:28 +0000 2017,0,1,0,48,@CNN
0,Sun Dec 10 00:10:26 +0000 2017,0,1,0,49,@CNN
0,Sun Dec 10 00:10:26 +0000 2017,0,1,0,50,@CNN
0,Sun Dec 10 00:10:25 +0000 2017,0.097,0.806,0.097,51,@CNN
0,Sun Dec 10 00:10:25 +0000 2017,0,1,0,52,@CNN
0,Sun Dec 10 00:10:25 +0000 2017,0,1,0,53,@CNN
0.5487,Sun Dec 10 00:10:24 +0000 2017,0,0.836,0.164,54,@CNN
0,Sun Dec 10 00:10:24 +0000 2017,0,1,0,55,@CNN
0.4588,Sun Dec 10 00:10:23 +0000 2017,0,0.875,0.125,56,@CNN
-0.7184,Sun Dec 10 00:10:23 +0000 2017,0.429,0.571,0,57,@CNN
0.6124,Sun Dec 10 00:10:21 +0000 2017,0,0.792,0.208,58,@CNN
